facility_id,group_id,fold,latitude,longitude,operation_status,state
56344,iowa_cafo_group_0003,1,42.58547,-92.90456,Active,IA
56346,iowa_cafo_group_0070,3,41.77878,-92.7865,Active,IA
56348,iowa_cafo_group_0006,0,42.98255,-96.30124,Active,IA
56349,iowa_cafo_group_0071,3,41.23449,-94.29775,Active,IA
56350,iowa_cafo_group_0072,0,40.93665,-91.44806,Active,IA
56352,iowa_cafo_group_0073,1,42.93592,-92.39014,Active,IA
56353,iowa_cafo_group_0074,1,42.63862,-91.25789,Active,IA
56354,iowa_cafo_group_0075,1,41.94434,-93.83186,Active,IA
56355,iowa_cafo_group_0076,4,42.05791,-94.78663,Active,IA
56356,iowa_cafo_group_0023,4,42.17595,-94.87991,Active,IA
56357,iowa_cafo_group_0077,2,42.1513,-91.58265,Active,IA
56359,iowa_cafo_group_0078,0,41.85651,-93.94876,Active,IA
56360,iowa_cafo_group_0079,4,41.2027,-95.00231,Active,IA
56361,iowa_cafo_group_0079,4,41.19423,-95.00205,Active,IA
56362,iowa_cafo_group_0068,2,42.35605,-95.24059,Active,IA
56363,iowa_cafo_group_0006,0,43.06154,-96.19542,Active,IA
56364,iowa_cafo_group_0080,2,42.01048,-94.96332,Active,IA
56365,iowa_cafo_group_0081,3,41.17618,-95.52974,Active,IA
56366,iowa_cafo_group_0023,4,42.15644,-94.8805,Active,IA
56367,iowa_cafo_group_0006,0,43.34618,-95.77602,Active,IA
56368,iowa_cafo_group_0082,4,42.80495,-93.40589,Active,IA
56370,iowa_cafo_group_0083,2,43.09862,-94.24033,Active,IA
56371,iowa_cafo_group_0084,4,42.60294,-91.84421,Active,IA
56372,iowa_cafo_group_0085,2,42.123,-91.86376,Active,IA
56373,iowa_cafo_group_0086,2,43.03668,-92.21203,Active,IA
56374,iowa_cafo_group_0087,3,42.95,-94.67707,Active,IA
56376,iowa_cafo_group_0088,1,41.24674,-95.39205,Active,IA
56377,iowa_cafo_group_0089,0,41.2592,-95.47631,Active,IA
56378,iowa_cafo_group_0090,3,41.21108,-91.80793,Active,IA
56379,iowa_cafo_group_0091,3,40.84786,-94.19374,Active,IA
56380,iowa_cafo_group_0092,2,40.81485,-94.18467,Active,IA
56381,iowa_cafo_group_0093,1,42.96406,-92.08063,Active,IA
56382,iowa_cafo_group_0006,0,43.41561,-96.25522,Active,IA
56383,iowa_cafo_group_0094,4,43.16332,-94.04997,Active,IA
56385,iowa_cafo_group_0095,0,42.12706,-93.50361,Active,IA
56388,iowa_cafo_group_0006,0,43.49094,-96.40752,Active,IA
56389,iowa_cafo_group_0096,3,41.31293,-94.54579,Active,IA
56390,iowa_cafo_group_0006,0,43.28839,-96.05547,Active,IA
56392,iowa_cafo_group_0097,1,41.61608,-94.1349,Active,IA
56395,iowa_cafo_group_0006,0,42.95225,-96.26257,Active,IA
56396,iowa_cafo_group_0006,0,43.12395,-96.1383,Active,IA
56397,iowa_cafo_group_0098,3,40.71333,-94.86323,Active,IA
56398,iowa_cafo_group_0099,2,42.9073,-94.71861,Active,IA
56399,iowa_cafo_group_0100,3,42.92111,-94.45619,Active,IA
56400,iowa_cafo_group_0101,3,42.82909,-95.97836,Active,IA
56401,iowa_cafo_group_0102,4,41.55597,-93.13923,Active,IA
56402,iowa_cafo_group_0103,3,41.35485,-95.07401,Active,IA
56403,iowa_cafo_group_0104,3,42.09645,-91.62532,Active,IA
56404,iowa_cafo_group_0105,0,42.10606,-91.59757,Active,IA
56405,iowa_cafo_group_0077,2,42.14726,-91.59796,Active,IA
56406,iowa_cafo_group_0106,2,42.89175,-92.56153,Active,IA
56407,iowa_cafo_group_0107,2,42.41586,-96.21051,Active,IA
56410,iowa_cafo_group_0108,3,42.03285,-94.52382,Active,IA
56412,iowa_cafo_group_0108,3,42.03099,-94.50474,Active,IA
56413,iowa_cafo_group_0109,2,41.31725,-95.36038,Active,IA
56416,iowa_cafo_group_0081,3,41.17479,-95.50476,Active,IA
56417,iowa_cafo_group_0110,2,42.20262,-95.45752,Active,IA
56418,iowa_cafo_group_0111,2,42.45415,-96.21681,Active,IA
56419,iowa_cafo_group_0112,1,42.77774,-94.9986,Active,IA
56420,iowa_cafo_group_0113,0,41.55058,-95.7897,Active,IA
56421,iowa_cafo_group_0114,1,40.70964,-95.13343,Active,IA
56423,iowa_cafo_group_0115,2,41.25748,-94.54596,Active,IA
56424,iowa_cafo_group_0116,2,41.16114,-93.28706,Active,IA
56426,iowa_cafo_group_0117,1,42.00159,-91.26757,Active,IA
56427,iowa_cafo_group_0118,0,42.54657,-95.48449,Active,IA
56428,iowa_cafo_group_0006,0,43.0094,-96.40196,Active,IA
56429,iowa_cafo_group_0119,0,42.16286,-90.38338,Active,IA
56430,iowa_cafo_group_0006,0,43.11359,-96.27748,Active,IA
56431,iowa_cafo_group_0006,0,43.1716,-96.30488,Active,IA
56432,iowa_cafo_group_0120,1,41.98808,-95.93675,Active,IA
56433,iowa_cafo_group_0121,2,43.37337,-95.998,Active,IA
56435,iowa_cafo_group_0006,0,43.24431,-96.28106,Active,IA
56436,iowa_cafo_group_0006,0,43.08848,-96.41283,Active,IA
56437,iowa_cafo_group_0006,0,43.39972,-96.17523,Active,IA
56438,iowa_cafo_group_0122,0,42.80637,-94.2806,Active,IA
56439,iowa_cafo_group_0123,1,43.32123,-91.82511,Active,IA
56440,iowa_cafo_group_0023,4,42.14571,-94.883,Active,IA
56441,iowa_cafo_group_0023,4,42.15375,-94.8641,Active,IA
56442,iowa_cafo_group_0124,2,42.16788,-94.91821,Active,IA
56444,iowa_cafo_group_0125,0,41.57745,-90.88256,Active,IA
56445,iowa_cafo_group_0126,2,41.60843,-90.92177,Active,IA
56446,iowa_cafo_group_0126,2,41.60869,-90.9352,Active,IA
56447,iowa_cafo_group_0127,2,41.38995,-91.88809,Active,IA
56448,iowa_cafo_group_0128,0,41.66067,-92.69005,Active,IA
56449,iowa_cafo_group_0061,1,42.93705,-96.01424,Active,IA
56450,iowa_cafo_group_0129,4,42.06971,-93.46024,Active,IA
56451,iowa_cafo_group_0130,4,42.13684,-95.78722,Active,IA
56453,iowa_cafo_group_0131,1,42.37796,-92.74973,Active,IA
56454,iowa_cafo_group_0132,1,41.22735,-92.72106,Active,IA
56456,iowa_cafo_group_0132,1,41.22834,-92.74192,Active,IA
56457,iowa_cafo_group_0132,1,41.20733,-92.73374,Active,IA
56459,iowa_cafo_group_0133,1,41.92026,-90.8729,Active,IA
56460,iowa_cafo_group_0134,4,42.42174,-95.57565,Active,IA
56461,iowa_cafo_group_0135,2,42.42702,-95.62481,Active,IA
56463,iowa_cafo_group_0136,2,42.27556,-91.03546,Active,IA
56464,iowa_cafo_group_0137,1,40.81777,-93.23956,Active,IA
56466,iowa_cafo_group_0061,1,42.91777,-96.01812,Active,IA
56467,iowa_cafo_group_0042,2,42.11364,-95.68456,Active,IA
56468,iowa_cafo_group_0138,4,42.30896,-93.08244,Active,IA
56470,iowa_cafo_group_0139,4,40.7103,-95.16974,Active,IA
56471,iowa_cafo_group_0140,2,42.80181,-96.40965,Active,IA
56472,iowa_cafo_group_0006,0,42.93484,-96.33034,Active,IA
56473,iowa_cafo_group_0006,0,43.23548,-96.39448,Active,IA
56476,iowa_cafo_group_0006,0,42.94491,-96.48999,Active,IA
56477,iowa_cafo_group_0006,0,43.11523,-96.08234,Active,IA
56478,iowa_cafo_group_0023,4,42.16831,-94.87797,Active,IA
56479,iowa_cafo_group_0141,1,42.48845,-96.05366,Active,IA
56480,iowa_cafo_group_0006,0,42.94638,-96.21414,Active,IA
56481,iowa_cafo_group_0006,0,43.15644,-96.26037,Active,IA
56485,iowa_cafo_group_0006,0,43.09884,-96.20803,Active,IA
56486,iowa_cafo_group_0142,3,41.97123,-95.91315,Active,IA
56487,iowa_cafo_group_0006,0,43.17709,-96.01741,Active,IA
56488,iowa_cafo_group_0006,0,43.14306,-95.99765,Active,IA
56489,iowa_cafo_group_0143,1,41.98445,-94.84859,Active,IA
56490,iowa_cafo_group_0006,0,43.1679,-96.23574,Active,IA
56491,iowa_cafo_group_0006,0,43.27966,-96.27485,Active,IA
56492,iowa_cafo_group_0144,2,43.01396,-95.27391,Active,IA
56493,iowa_cafo_group_0145,3,42.01938,-94.70516,Active,IA
56495,iowa_cafo_group_0146,3,41.08043,-95.21327,Active,IA
56496,iowa_cafo_group_0006,0,43.03833,-96.15246,Active,IA
56497,iowa_cafo_group_0011,3,42.72258,-96.0792,Active,IA
56499,iowa_cafo_group_0147,1,41.40872,-92.85472,Active,IA
56500,iowa_cafo_group_0148,4,41.93376,-92.98104,Active,IA
56501,iowa_cafo_group_0149,3,42.08383,-95.53838,Active,IA
56502,iowa_cafo_group_0150,3,42.06552,-95.09267,Active,IA
56503,iowa_cafo_group_0151,4,42.19575,-91.47702,Active,IA
56504,iowa_cafo_group_0025,2,41.5547,-94.94732,Active,IA
56506,iowa_cafo_group_0006,0,43.26542,-96.46988,Active,IA
56507,iowa_cafo_group_0152,4,42.12798,-95.55447,Active,IA
56508,iowa_cafo_group_0153,3,40.81063,-93.59438,Active,IA
56509,iowa_cafo_group_0154,3,41.42068,-95.79925,Active,IA
56510,iowa_cafo_group_0155,3,42.49149,-94.95624,Active,IA
56511,iowa_cafo_group_0156,3,42.90221,-95.48575,Active,IA
56512,iowa_cafo_group_0136,2,42.26435,-91.04535,Active,IA
56513,iowa_cafo_group_0157,4,42.54826,-96.04608,Active,IA
56515,iowa_cafo_group_0158,1,41.51384,-95.65604,Active,IA
56516,iowa_cafo_group_0159,1,41.96404,-90.24434,Active,IA
56517,iowa_cafo_group_0160,2,43.3226,-94.24504,Active,IA
56519,iowa_cafo_group_0161,3,42.0014,-94.78931,Active,IA
56520,iowa_cafo_group_0162,0,42.6,-95.22,Active,IA
56522,iowa_cafo_group_0163,4,42.31,-95.23143,Active,IA
56523,iowa_cafo_group_0142,3,41.97123,-95.91315,Active,IA
56524,iowa_cafo_group_0164,1,42.28086,-96.09878,Active,IA
56525,iowa_cafo_group_0165,2,42.98303,-94.79583,Active,IA
56528,iowa_cafo_group_0027,1,41.90503,-94.83161,Active,IA
56529,iowa_cafo_group_0166,1,43.29746,-95.17256,Active,IA
56530,iowa_cafo_group_0167,0,42.00967,-93.75874,Active,IA
56531,iowa_cafo_group_0168,1,42.15191,-95.5343,Active,IA
56534,iowa_cafo_group_0169,2,41.93482,-95.71967,Active,IA
56535,iowa_cafo_group_0170,0,42.62221,-94.27087,Active,IA
56536,iowa_cafo_group_0061,1,42.944,-96.01543,Active,IA
56537,iowa_cafo_group_0061,1,42.90887,-96.00314,Active,IA
56538,iowa_cafo_group_0171,2,42.35501,-95.8454,Active,IA
56539,iowa_cafo_group_0172,0,43.28878,-94.81941,Active,IA
56541,iowa_cafo_group_0173,3,42.12645,-95.1865,Active,IA
56542,iowa_cafo_group_0174,4,42.66323,-95.6656,Active,IA
56543,iowa_cafo_group_0006,0,43.36453,-96.1349,Active,IA
56544,iowa_cafo_group_0006,0,43.23036,-96.01757,Active,IA
56545,iowa_cafo_group_0175,2,42.51346,-95.56225,Active,IA
56546,iowa_cafo_group_0006,0,43.13961,-96.2948,Active,IA
56547,iowa_cafo_group_0176,1,42.0679,-91.53943,Active,IA
56548,iowa_cafo_group_0177,3,42.0554,-91.5141,Active,IA
56549,iowa_cafo_group_0177,3,42.05142,-91.50502,Active,IA
56550,iowa_cafo_group_0176,1,42.07449,-91.53629,Active,IA
56551,iowa_cafo_group_0178,3,43.4818,-94.48065,Active,IA
56552,iowa_cafo_group_0023,4,42.14689,-94.85876,Active,IA
56553,iowa_cafo_group_0006,0,42.99773,-96.34721,Active,IA
56554,iowa_cafo_group_0179,2,42.96834,-96.01659,Active,IA
56555,iowa_cafo_group_0006,0,43.04112,-96.34333,Active,IA
56556,iowa_cafo_group_0061,1,42.89985,-95.95584,Active,IA
56557,iowa_cafo_group_0006,0,42.94854,-96.34865,Active,IA
56559,iowa_cafo_group_0180,3,41.5922,-93.31272,Active,IA
56560,iowa_cafo_group_0181,3,40.65727,-92.72229,Active,IA
56561,iowa_cafo_group_0182,4,41.23953,-92.7928,Active,IA
56562,iowa_cafo_group_0183,2,43.24184,-94.38632,Active,IA
56563,iowa_cafo_group_0027,1,41.91094,-94.96617,Active,IA
56564,iowa_cafo_group_0184,1,42.03629,-95.48682,Active,IA
56566,iowa_cafo_group_0006,0,43.09976,-96.22268,Active,IA
56567,iowa_cafo_group_0185,2,43.25553,-96.51193,Active,IA
56569,iowa_cafo_group_0006,0,43.10273,-96.23592,Active,IA
56571,iowa_cafo_group_0151,4,42.20315,-91.45646,Active,IA
56572,iowa_cafo_group_0186,3,42.16376,-91.37313,Active,IA
56573,iowa_cafo_group_0187,2,42.17418,-91.2791,Active,IA
56574,iowa_cafo_group_0186,3,42.13428,-91.3657,Active,IA
56575,iowa_cafo_group_0186,3,42.14783,-91.37492,Active,IA
56576,iowa_cafo_group_0188,2,42.39214,-95.84714,Active,IA
56577,iowa_cafo_group_0189,3,42.75976,-93.81851,Active,IA
56579,iowa_cafo_group_0006,0,43.27367,-96.15888,Active,IA
56580,iowa_cafo_group_0190,2,43.45635,-95.56462,Active,IA
56581,iowa_cafo_group_0191,1,43.44798,-96.11727,Active,IA
56583,iowa_cafo_group_0082,4,42.80154,-93.3229,Active,IA
56584,iowa_cafo_group_0192,1,43.50025,-94.61378,Active,IA
56585,iowa_cafo_group_0193,3,41.46288,-94.22251,Active,IA
56586,iowa_cafo_group_0194,1,42.74147,-93.26305,Active,IA
56587,iowa_cafo_group_0194,1,42.73563,-93.26353,Active,IA
56589,iowa_cafo_group_0195,4,42.2104,-93.69988,Active,IA
56590,iowa_cafo_group_0196,0,40.96935,-93.47532,Active,IA
56591,iowa_cafo_group_0197,4,41.41179,-93.65901,Active,IA
56592,iowa_cafo_group_0198,4,42.44315,-95.50223,Active,IA
56593,iowa_cafo_group_0199,2,42.4733,-95.51576,Active,IA
56594,iowa_cafo_group_0175,2,42.52728,-95.56114,Active,IA
56595,iowa_cafo_group_0175,2,42.51978,-95.55378,Active,IA
56596,iowa_cafo_group_0175,2,42.52182,-95.52675,Active,IA
56597,iowa_cafo_group_0200,2,43.33615,-95.4558,Active,IA
56598,iowa_cafo_group_0006,0,43.12945,-96.38456,Active,IA
56600,iowa_cafo_group_0201,1,41.07459,-93.48218,Active,IA
56601,iowa_cafo_group_0157,4,42.54961,-96.08701,Active,IA
56602,iowa_cafo_group_0202,1,42.64602,-91.7838,Active,IA
56603,iowa_cafo_group_0203,4,42.4759,-95.97547,Active,IA
56604,iowa_cafo_group_0204,4,41.90596,-95.33964,Active,IA
56605,iowa_cafo_group_0205,4,42.35644,-95.69257,Active,IA
56606,iowa_cafo_group_0069,3,43.31868,-94.65715,Active,IA
56607,iowa_cafo_group_0206,0,42.85063,-95.55604,Active,IA
56611,iowa_cafo_group_0006,0,43.49785,-96.3631,Active,IA
56612,iowa_cafo_group_0207,4,41.14538,-94.98348,Active,IA
56613,iowa_cafo_group_0144,2,43.00927,-95.26672,Active,IA
56614,iowa_cafo_group_0006,0,43.40497,-96.34156,Active,IA
56616,iowa_cafo_group_0006,0,43.1785,-96.38849,Active,IA
56617,iowa_cafo_group_0208,3,43.29497,-91.43337,Active,IA
56618,iowa_cafo_group_0209,1,42.44444,-94.8857,Active,IA
56619,iowa_cafo_group_0006,0,43.25288,-96.29378,Active,IA
56621,iowa_cafo_group_0159,1,41.96188,-90.29924,Active,IA
56622,iowa_cafo_group_0210,2,42.0677,-90.31162,Active,IA
56623,iowa_cafo_group_0006,0,43.239,-96.32619,Active,IA
56625,iowa_cafo_group_0006,0,43.30223,-96.15564,Active,IA
56626,iowa_cafo_group_0211,3,41.01792,-91.8891,Active,IA
56627,iowa_cafo_group_0212,1,41.4472,-90.93855,Active,IA
56628,iowa_cafo_group_0213,3,40.9108,-93.90751,Active,IA
56638,iowa_cafo_group_0214,1,43.0945,-92.17865,Active,IA
56639,iowa_cafo_group_0215,4,42.121,-90.76631,Active,IA
56641,iowa_cafo_group_0006,0,43.00007,-96.29325,Active,IA
56642,iowa_cafo_group_0216,3,42.74567,-95.80058,Active,IA
56643,iowa_cafo_group_0217,3,41.46663,-91.13975,Active,IA
56645,iowa_cafo_group_0217,3,41.44542,-91.14545,Active,IA
56646,iowa_cafo_group_0217,3,41.4282,-91.17172,Active,IA
56647,iowa_cafo_group_0217,3,41.45507,-91.14073,Active,IA
56651,iowa_cafo_group_0218,0,41.32201,-92.67358,Active,IA
56652,iowa_cafo_group_0166,1,43.28611,-95.17165,Active,IA
56654,iowa_cafo_group_0219,0,42.3851,-95.92993,Active,IA
56656,iowa_cafo_group_0006,0,43.24442,-96.21481,Active,IA
56657,iowa_cafo_group_0220,4,41.38224,-95.05567,Active,IA
56658,iowa_cafo_group_0006,0,43.30593,-96.17888,Active,IA
56659,iowa_cafo_group_0221,3,40.98053,-94.45297,Active,IA
56662,iowa_cafo_group_0222,1,43.08057,-95.11063,Active,IA
56663,iowa_cafo_group_0223,3,43.07448,-95.24938,Active,IA
56665,iowa_cafo_group_0061,1,42.76474,-95.81731,Active,IA
56667,iowa_cafo_group_0224,2,43.04083,-94.76436,Active,IA
56669,iowa_cafo_group_0225,3,42.81,-94.52,Active,IA
56671,iowa_cafo_group_0006,0,43.14931,-95.87406,Active,IA
56673,iowa_cafo_group_0226,3,41.8286,-91.54452,Active,IA
56674,iowa_cafo_group_0006,0,43.34672,-96.09004,Active,IA
56675,iowa_cafo_group_0227,4,41.30811,-91.63075,Active,IA
56676,iowa_cafo_group_0060,4,43.27037,-92.72085,Active,IA
56678,iowa_cafo_group_0211,3,41.01768,-91.87726,Active,IA
56679,iowa_cafo_group_0060,4,43.26913,-92.7375,Active,IA
56680,iowa_cafo_group_0069,3,43.28322,-94.59673,Active,IA
56681,iowa_cafo_group_0228,2,40.9986,-94.35125,Active,IA
56682,iowa_cafo_group_0229,3,42.4234,-95.08408,Active,IA
56683,iowa_cafo_group_0230,3,41.88221,-95.86603,Active,IA
56684,iowa_cafo_group_0231,1,40.67649,-92.68275,Active,IA
56685,iowa_cafo_group_0232,0,43.43422,-95.06174,Active,IA
56686,iowa_cafo_group_0233,2,41.93181,-90.29987,Active,IA
56689,iowa_cafo_group_0234,1,41.64556,-93.84853,Active,IA
56691,iowa_cafo_group_0037,3,42.4263,-95.51871,Active,IA
56692,iowa_cafo_group_0235,4,41.99119,-92.35847,Active,IA
56693,iowa_cafo_group_0236,3,40.75246,-94.22577,Active,IA
56695,iowa_cafo_group_0237,0,41.91849,-92.15259,Active,IA
56696,iowa_cafo_group_0238,2,42.96087,-95.62585,Active,IA
56698,iowa_cafo_group_0239,4,42.10874,-95.04081,Active,IA
56700,iowa_cafo_group_0240,1,42.3864,-96.00472,Active,IA
56703,iowa_cafo_group_0023,4,42.16092,-94.88032,Active,IA
56705,iowa_cafo_group_0006,0,43.21006,-96.39482,Active,IA
56706,iowa_cafo_group_0023,4,42.13171,-94.87903,Active,IA
56708,iowa_cafo_group_0157,4,42.59575,-96.07398,Active,IA
56711,iowa_cafo_group_0157,4,42.56327,-96.07885,Active,IA
56712,iowa_cafo_group_0157,4,42.57662,-96.08046,Active,IA
56713,iowa_cafo_group_0157,4,42.55926,-96.04942,Active,IA
56715,iowa_cafo_group_0006,0,43.22687,-96.19751,Active,IA
56717,iowa_cafo_group_0006,0,43.20729,-95.92443,Active,IA
56718,iowa_cafo_group_0241,2,41.55548,-92.78793,Active,IA
56719,iowa_cafo_group_0242,1,41.47554,-92.96772,Active,IA
56721,iowa_cafo_group_0027,1,41.90644,-94.83337,Active,IA
56722,iowa_cafo_group_0243,3,42.12233,-95.38643,Active,IA
56723,iowa_cafo_group_0006,0,42.89595,-96.31557,Active,IA
56724,iowa_cafo_group_0244,4,41.56848,-92.38848,Active,IA
56725,iowa_cafo_group_0245,1,41.05822,-95.28508,Active,IA
56728,iowa_cafo_group_0015,4,42.18594,-94.91619,Active,IA
56731,iowa_cafo_group_0006,0,42.99574,-96.41063,Active,IA
56733,iowa_cafo_group_0069,3,43.2857,-94.61954,Active,IA
56734,iowa_cafo_group_0246,3,42.50218,-94.74805,Active,IA
56736,iowa_cafo_group_0006,0,43.05838,-95.87674,Active,IA
56737,iowa_cafo_group_0247,2,43.29521,-95.40943,Active,IA
56738,iowa_cafo_group_0248,4,41.56832,-90.81818,Active,IA
56739,iowa_cafo_group_0249,4,42.99467,-92.5438,Active,IA
56741,iowa_cafo_group_0250,3,43.34917,-94.73161,Active,IA
56742,iowa_cafo_group_0251,0,41.1659,-94.96193,Active,IA
56743,iowa_cafo_group_0252,3,42.44589,-92.49354,Active,IA
56744,iowa_cafo_group_0253,3,42.25667,-95.20356,Active,IA
56746,iowa_cafo_group_0025,2,41.54587,-94.94791,Active,IA
56747,iowa_cafo_group_0254,3,42.08581,-90.38594,Active,IA
